排名    题号       AC数        题名                                                                            
168     2095       9936       find your present (2)                                       
169     1548       9911       A strange lift                                              
170     1465       9785       不容易系列之一                                                     
171     1052       9598       Tian Ji -- The Horse Racing                                 
172     2955       9569       Robberies                                                   
173     1248       9534       寒冰王座                                                        
174     1181       9500       变形课                                                         
175     1102       9441       Constructing Roads                                          
176     1175       9353       连连看                                                         
177     2199       9322       Can you solve this equation?                                
178     1532       9265       Drainage Ditches                                            
179     1412       9232       {A} + {B}                                                   
180     1196       9213       Lowest Bit                                                  
181     1051       9202       Wooden Sticks                                               
182     2083       9146       简易版之最短距离                                                    
183     1236       9058       排名                                                          
184     1398       8901       Square Coins                                                
185     3790       8892       最短路径问题                                                      
186     3068       8868       最长回文                                                        
187     2064       8857       汉诺塔III                                                      
188     1789       8830       Doing Homework again                                        
189     1069       8820       Monkey and Banana                                           
190     1234       8764       开门人和关门人                                                     
191     1157       8737       Who's in the Middle                                         
192     1846       8588       Brave Game                                                  
193     2504       8505       又见GCD                                                       
194     1064       8497       Financial Management                                        
195     1864       8359       最大报销额                                                       
196     1075       8345       What Are You Talking About                                  
197     2094       8329       产生冠军                                                        
198     2056       8318       Rectangles                                                  
199     3549       8235       Flow Problem                                                
200     1237       8176       简单计算器                                                       
201     2085       8166       核反应堆                                                        
202     1219       8138       AC Me                                                       
203     2058       8099       The sum problem                                             
204     2141       8064       Can you find it?                                            
205     1015       8038       Safecracker                                                 
206     2503       8000       a/b + c/d                                                   
207     1071       7922       The area                                                    
208     1269       7887       迷宫城堡                                                        
209     1059       7886       Dividing                                                    
210     2112       7778       HDU Today                                                   
211     1045       7734       Fire Net                                                    
212     1160       7687       FatMouse's Speed                                            
213     1025       7564       Constructing Roads In JGShining's Kingdom                   
214     1862       7503       EXCEL排序                                                     
215     3555       7441       Bomb                                                        
216     1286       7404       找新朋友                                                        
217     1671       7397       Phone List                                                  
218     2059       7363       龟兔赛跑                                                        
219     1060       7359       Leftmost Digit                                              
220     2159       7336       FATE                                                        
221     1860       7298       统计字符                                                        
222     1098       7286       Ignatius's puzzle                                           
223     2186       7262       悼念512汶川大地震遇难同胞――一定要记住我爱你                                    
224     1728       7241       逃离迷宫                                                        
225     2561       7222       第二小整数                                                       
226     2160       7221       母猪的故事                                                       
227     2069       7220       Coin Change                                                 
228     1262       7189       寻找素数对                                                       
229     2571       7144       命运                                                          
230     1202       7133       The calculation of GPA                                      
231     1372       7113       Knight Moves                                                
232     1847       7105       Good Luck in CET-4 Everybody!                               
233     2107       7045       Founding of HDU                                             
234     2586       7038       How far away ？                                              
235     2147       6997       kiki's game                                                 
236     2896       6950       病毒侵袭                                                        
237     1495       6909       非常可乐                                                        
238     1715       6908       大菲波数                                                        
239     2203       6899       亲和串                                                         
240     1043       6883       Eight                                                       
241     1039       6874       Easier Done Than Said?                                      
242     1800       6872       Flying to the Mars                                          
243     2076       6856       夹角有多大(题目已修改,注意读题)                                           
244     2138       6841       How many prime numbers                                      
245     1877       6838       又一版 A+B                                                     
246     1280       6757       前m大的数                                                       
247     1284       6741       钱币兑换问题                                                      
248     1161       6718       Eddy's mistakes                                             
249     2567       6712       寻梦                                                          
250     1290       6704       献给杭电五十周年校庆的礼物                                               
251     2501       6658       Tiling_easy version                                         
252     2520       6624       我是菜鸟，我怕谁                                                    
253     2188       6608       悼念512汶川大地震遇难同胞――选拔志愿者                                       
254     2078       6599       复习时间                                                        
255     2844       6539       Coins                                                       
256     2109       6538       Fighting for HDU                                            
257     1870       6492       愚人节的礼物                                                      
258     1081       6488       To The Max                                                  
259     1164       6487       Eddy's research I                                           
260     1026       6472       Ignatius and the Princess I                                 
261     1407       6465       测试你是否和LTC水平一样高                                              
262     1056       6420       HangOver                                                    
263     2187       6417       悼念512汶川大地震遇难同胞――老人是真饿了                                      
264     2502       6415       月之数                                                         
265     1720       6411       A+B Coming                                                  
266     1686       6371       Oulipo                                                      
267     2080       6290       夹角有多大II                                                     
268     2102       6220       A计划                                                         
269     1070       6206       Milk                                                        
270     1301       6165       Jungle Roads                                                
271     1072       6070       Nightmare                                                   
272     2524       6061       矩形A + B                                                     
273     2562       6054       奇偶位互换                                                       
274     1325       6038       Is It A Tree?                                               
275     2111       6015       Saving HDU                                                  
276     1878       5995       欧拉回路                                                        
277     1542       5966       Atlantis                                                    
278     2088       5926       Box of Bricks                                               
279     2568       5923       前进                                                          
280     1506       5882       Largest Rectangle in a Histogram                            
281     4333       5873       Revolving Digits                                            
282     1212       5850       Big Number                                                  
283     1068       5822       Girls and Boys                                              
284     1247       5816       Hat’s Words                                                 
285     2123       5779       An easy problem                                             
286     2082       5747       找单词                                                         
287     2061       5729       Treasure the new start, freshmen!                           
288     2074       5698       叠筐                                                          
289     2067       5678       小兔的棋盘                                                       
290     2161       5659       Primes                                                      
291     2068       5640       RPG的错排                                                      
292     2077       5632       汉诺塔IV                                                       
293     2566       5625       统计硬币                                                        
294     1395       5602       2^x mod n = 1                                               
295     1047       5595       Integer Inquiry                                             
296     2201       5588       熊猫阿波的故事                                                     
297     2612       5582       Find a way                                                  
298     1402       5581       A * B Problem Plus                                          
299     2899       5578       Strange fuction                                             
300     2212       5577       DFS                                                         
301     1197       5567       Specialized Four-Digit Numbers                              
302     1086       5561       You can Solve a Geometry Problem too                        
303     1859       5558       最小长方形                                                       
304     2093       5507       考试排名                                                        
305     2073       5486       无限的路                                                        
306     1162       5471       Eddy's picture                                              
307     1829       5434       A Bug's Life                                                
308     1011       5426       Starship Troopers                                           
309     1249       5389       三角形                                                         
310     2086       5388       A1 = ?                                                      
311     1035       5369       Robot Motion                                                
312     2060       5366       Snooker                                                     
313     2563       5359       统计问题                                                        
314     1023       5358       Train Problem II                                            
315     3336       5338       Count the string                                            
316     1576       5304       A/B                                                         
317     2149       5274       Public Sale                                                 
318     1279       5273       验证角谷猜想                                                      
319     1238       5227       Substrings                                                  
320     3065       5221       病毒侵袭持续中                                                     
321     1027       5202       Ignatius and the Princess II                                
322     1006       5198       Tick and Tick                                               
323     1518       5194       Square                                                      
324     1408       5164       盐水的故事                                                       
325     2519       5152       新生晚会                                                        
326     1297       5136       Children’s Queue                                            
327     1520       5136       Anniversary party                                           
328     2190       5094       悼念512汶川大地震遇难同胞――重建希望小学                                      
329     1596       5090       find the safest road                                        
330     3371       5068       Connect the Cities                                          
331     1561       5040       The more, The Better                                        
332     2680       5030       Choose the best route                                       
333     2113       4962       Secret Number                                               
334     2564       4957       词组缩写                                                        
335     2136       4951       Largest prime factor                                        
336     1031       4938       Design T-Shirt                                              
337     2717       4907       Catch That Cow                                              
338     1753       4897       大明A+B                                                       
339     1074       4878       Doing Homework                                              
340     1695       4876       GCD                                                         
341     4006       4873       The kth great number                                        
342     1850       4862       Being a Good Boy in Spring Festival                         
343     1969       4853       Pie                                                         
344     1555       4828       How many days?                                              
345     1200       4812       To and Fro                                                  
346     1078       4805       FatMouse and Cheese                                         
347     1431       4797       素数回文                                                        
348     2178       4786       猜数字                                                         
349     1150       4782       Machine Schedule                                            
350     1466       4749       计算直线的交点数                                                    
351     2255       4733       奔小康赚大钱                                                      
352     2565       4668       放大的X                                                        
353     1392       4648       Surround the Trees                                          
354     1282       4614       回文数猜想                                                       
355     1198       4613       Farm Irrigation                                             
356     1222       4604       Wolf and Rabbit                                             
357     1266       4592       Reverse Number                                              
358     1873       4587       看病要排队                                                       
359     1283       4570       最简单的计算机                                                     
360     2156       4570       分数矩阵                                                        
361     4027       4557       Can you answer these queries?                               
362     2548       4541       两军交锋                                                        
363     3746       4528       Cyclic Nacklace                                             
364     1358       4496       Period                                                      
365     1230       4474       火星A+B                                                       
366     1994       4460       利息计算                                                        
367     2549       4456       壮志难酬                                                        
368     1321       4424       Reverse Text                                                
369     2148       4423       Score                                                       
370     1527       4404       取石子游戏                                                       
371     1702       4386       ACboy needs your help again!                                
372     1207       4378       汉诺塔II                                                       
373     3507       4354       Print Article                                               
374     2114       4351       Calculate S(n)                                              
375     2673       4308       shǎ崽 OrOrOrOrz                                              
376     3342       4287       Legal or Not                                                
377     1575       4276       Tr A                                                        
378     1083       4262       Courses                                                     
379     1541       4254       Stars                                                       
380     1420       4219       Prepared for New Acmer                                      
381     1038       4217       Biker's Trip Odometer                                       
382     1597       4214       find the nth digit                                          
383     1712       4204       ACboy needs your help                                       
384     1869       4187       六度分离                                                        
385     2550       4186       百步穿杨                                                        
386     1034       4182       Candy Sharing Game                                          
387     1276       4148       士兵队列训练问题                                                    
388     2521       4147       反素数                                                         
389     3652       4142       B-number                                                    
390     1180       4136       诡异的楼梯                                                       
391     1054       4135       Strategic Game                                              
392     2108       4120       Shape of HDU                                                
393     1848       4047       Fibonacci again and again                                   
394     1250       4023       Hat's Fibonacci                                             
395     2079       4015       选课时间(题目已修改,注意读题)                                            
396     1217       4012       Arbitrage                                                   
397     2153       3968       仙人球的残影                                                      
398     1163       3947       Eddy's digital Roots                                        
399     1710       3932       Binary Tree Traversals                                      
400     2132       3931       An easy problem                                             
401     2196       3922       Computer                                                    
402     1540       3900       Tunnel Warfare                                              
403     1194       3897       Beat the Spread!                                            
404     1065       3886       I Think I Need a Houseboat                                  
405     2665       3877       Kth number                                                  
406     1084       3861       What Is Your Grade?                                         
407     2131       3857       Probability                                                 
408     2700       3839       Parity                                                      
409     1303       3832       Doubles                                                     
410     1030       3814       Delta-wave                                                  
411     1501       3799       Zipper                                                      
412     1214       3791       圆桌会议                                                        
413     2551       3777       竹青遍野                                                        
414     1151       3752       Air Raid                                                    
415     4004       3712       The Frog's Games                                            
416     1999       3703       不可摸数                                                        
417     3038       3680       How Many Answers Are Wrong                                  
418     2105       3675       The Center of Gravity                                       
419     1088       3670       Write a simple HTML Browser                                 
420     1128       3658       Self Numbers                                                
421     1496       3654       Equations                                                   
422     1115       3649       Lifting the Stone                                           
423     2516       3642       取石子游戏                                                       
424     1258       3636       Sum It Up                                                   
425     1565       3618       方格取数(1)                                                     
426     2594       3613       Simpsons’ Hidden Talents                                    
427     2547       3612       无剑无我                                                        
428     3782       3599       xxx定律                                                       
429     1570       3581       A C                                                         
430     3966       3567       Aragorn's Story                                             
431     1517       3566       A Multiplication Game                                       
432     1390       3549       Binary Numbers                                              
433     1536       3541       S-Nim                                                       
434     1240       3539       Asteroids!                                                  
435     1326       3533       Box of Bricks                                               
436     1880       3531       魔咒词典                                                        
437     1709       3506       The Balance                                                 
438     1391       3489       Number Steps                                                
439     2689       3434       Sort it                                                     
440     1978       3418       How many ways                                               
441     1328       3405       IBM Minus One                                               
442     3308       3405       LCIS                                                        
443     1562       3396       Guess the number                                            
444     1455       3391       Sticks                                                      
445     2537       3391       8球胜负                                                        
446     1598       3377       find the most comfortable road                              
447     1716       3363       排列2                                                         
448     2535       3360       Vote                                                        
449     1172       3358       猜数字                                                         
450     1429       3357       胜利大逃亡(续)                                                    
451     1142       3345       A Walk Through the Forest                                   
452     2824       3330       The Euler function                                          
453     1505       3300       City Game                                                   
454     2577       3293       How to Type                                                 
455     2560       3288       Buildings                                                   
456     1995       3283       汉诺塔V                                                        
457     1757       3250       A Simple Math Problem                                       
458     1210       3241       Eddy's 洗牌问题                                                 
459     1073       3229       Online Judge                                                
460     1385       3219       Minimum Transport Cost                                      
461     1849       3219       Rabbit and Grass                                            
462     2444       3218       The Accomodation of Students                                
463     1263       3197       水果                                                          
464     2647       3193         Reward                                                    
465     1041       3186       Computer Transformation                                     
466     1281       3171       棋盘游戏                                                        
467     2669       3171       Romantic                                                    
468     2181       3167       哈密顿绕行世界问题                                                   
469     4417       3163       Super Mario                                                 
470     1239       3148       Calling Extraterrestrial Intelligence Again                 
471     1255       3147       覆盖的面积                                                       
472     3787       3140       A+B                                                         
473     1195       3121       Open the Lock                                               
474     2065       3118       "红色病毒"问题                                                    
475     3415       3118       Max Sum of Max-K-sub-sequence                               
476     4450       3106       Draw Something                                              
477     2710       3101       Max Factor                                                  
